                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4064,                 7.1809,                 4.3493,                0.00031,                0.07353,                 0.0002,                  7e-05,                 4.4741,                 5.7297,                 4.1655,                0.00052,                0.00052,                0.00052
                      2,                 3.9293,                  5.909,                 3.8558,                0.00045,                0.11765,                0.00033,                0.00012,                 4.4601,                 5.1521,                 4.3423,             0.00095506,             0.00095506,             0.00095506
                      3,                  3.356,                 4.8193,                 3.5279,                0.00079,                0.10294,                 0.0005,                  9e-05,                 3.7992,                 4.5953,                 4.7756,              0.0012832,              0.0012832,              0.0012832
                      4,                 3.1259,                 4.0936,                  3.172,                0.00155,                0.17647,                 0.0176,                0.00411,                 4.3939,                 4.5813,                 4.2993,               0.001406,               0.001406,               0.001406
                      5,                 2.9604,                 3.7468,                 2.9714,                0.00675,                0.38235,                0.04338,                0.01028,                 3.2429,                 3.7895,                 3.3693,               0.001406,               0.001406,               0.001406
                      6,                 2.7729,                 3.2975,                 2.8493,                0.21172,                0.17647,                0.10046,                0.02524,                 2.8938,                 3.6787,                 3.2285,               0.001208,               0.001208,               0.001208
                      7,                 2.7587,                 3.1183,                  2.766,                 0.2167,                0.08824,                0.06147,                0.01736,                 2.8594,                  3.258,                 3.0427,                0.00101,                0.00101,                0.00101
                      8,                 2.7199,                 2.9814,                 2.7144,                 0.1689,                0.26471,                0.12793,                0.03989,                 2.6615,                 3.1204,                 2.8407,               0.000812,               0.000812,               0.000812
                      9,                  2.681,                 2.7979,                 2.6572,                0.20438,                0.41176,                0.19028,                0.05649,                 2.5343,                 2.6449,                 2.7613,               0.000614,               0.000614,               0.000614
                     10,                 2.6406,                 2.6952,                 2.6222,                0.23173,                   0.25,                0.17484,                0.05087,                 2.5533,                 2.6627,                 2.7489,               0.000416,               0.000416,               0.000416
